"Number","Address","Data","Content","Time","AUX",
"0.0","0000","0000","TRIGGER",">5.659166083 s ","0000",
"1.0","00.DE70","FFB7"," INVALID_OPCODE","10.000383 ms
10.000383 ms","0000",
"","","","OP-CODE Fetch","","",
"3.0","00.DE70","FFB7"," INVALID_OPCODE","10.000267 ms
10.000267 ms","0000",
"","","","OP-CODE Fetch","","",
"5.0","00.DE70","FFB7"," INVALID_OPCODE","10.000266 ms
10.000266 ms","0000",
"","","","OP-CODE Fetch","","",
"7.0","00.DE70","FFB7"," INVALID_OPCODE","10.000300 ms
10.000300 ms","0000",
"","","","OP-CODE Fetch","","",
"9.0","00.DE70","FFB7"," INVALID_OPCODE","10.000317 ms
10.000317 ms","0000",
"","","","OP-CODE Fetch","","",
"11.0","00.DE70","FFB7"," INVALID_OPCODE","10.000333 ms
10.000333 ms","0000",
"","","","OP-CODE Fetch","","",
"13.0","00.DE70","FFB7"," INVALID_OPCODE","10.000284 ms
10.000284 ms","0000",
"","","","OP-CODE Fetch","","",
"15.0","00.DE70","FFB7"," INVALID_OPCODE","10.000350 ms
10.000350 ms","0000",
"","","","OP-CODE Fetch","","",
"17.0","00.DE70","FFB7"," INVALID_OPCODE","10.000266 ms
10.000266 ms","0000",
"","","","OP-CODE Fetch","","",
"19.0","00.DE70","FFB7"," INVALID_OPCODE","10.000300 ms
10.000300 ms","0000",
"","","","OP-CODE Fetch","","",
"21.0","00.DE70","FFB7"," INVALID_OPCODE","10.000317 ms
10.000317 ms","0000",
"","","","OP-CODE Fetch","","",
"23.0","00.DE70","FFB7"," INVALID_OPCODE","10.000300 ms
10.000300 ms","0000",
"","","","OP-CODE Fetch","","",
"25.0","00.DE70","FFB7"," INVALID_OPCODE","10.000367 ms
10.000367 ms","0000",
"","","","OP-CODE Fetch","","",
"27.0","00.DE70","FFB7"," INVALID_OPCODE","10.000250 ms
10.000250 ms","0000",
"","","","OP-CODE Fetch","","",
"29.0","00.DE70","FFB7"," INVALID_OPCODE","10.000316 ms
10.000316 ms","0000",
"","","","OP-CODE Fetch","","",
"31.0","00.DE70","FFB7"," INVALID_OPCODE","10.002067 ms
10.002067 ms","0000",
"","","","OP-CODE Fetch","","",
"33.0","00.DE70","FFB7"," INVALID_OPCODE","9.998633 ms
9.998633 ms","0000",
"","","","OP-CODE Fetch","","",
"35.0","00.DE70","FFB7"," INVALID_OPCODE","10.000634 ms
10.000634 ms","0000",
"","","","OP-CODE Fetch","","",
"37.0","00.DE70","FFB7"," INVALID_OPCODE","9.999900 ms
9.999900 ms","0000",
"","","","OP-CODE Fetch","","",
