"Number","Address","Data","Content","Time","AUX",
"0.0","0000","0000","TRIGGER","0 ns","0000",
"1.0","00.14D2","1400","debugForeGndTaskNum","5.088383 ms","0000",
"","","","Memory Write","","",
"2.0","00.14D2","1400","debugForeGndTaskNum","5.194700 ms","0000",
"","","","Memory Write","","",
"3.0","00.14D2","1401","debugForeGndTaskNum","5.197466 ms","0000",
"","","","Memory Write","","",
"4.0","00.14D2","1401","debugForeGndTaskNum","5.226800 ms","0000",
"","","","Memory Write","","",
"5.0","00.14D2","1402","debugForeGndTaskNum","5.229566 ms","0000",
"","","","Memory Write","","",
"6.0","00.14D2","1402","debugForeGndTaskNum","5.439000 ms","0000",
"","","","Memory Write","","",
"7.0","00.14D2","1403","debugForeGndTaskNum","5.441783 ms","0000",
"","","","Memory Write","","",
"8.0","00.14D2","1403","debugForeGndTaskNum","5.448166 ms","0000",
"","","","Memory Write","","",
"9.0","00.14D2","1404","debugForeGndTaskNum","5.450933 ms","0000",
"","","","Memory Write","","",
"10.0","00.14D2","1404","debugForeGndTaskNum","5.747683 ms","0000",
"","","","Memory Write","","",
"11.0","00.14D2","1405","debugForeGndTaskNum","5.750450 ms","0000",
"","","","Memory Write","","",
"12.0","00.14D2","1405","debugForeGndTaskNum","5.861883 ms","0000",
"","","","Memory Write","","",
"13.0","00.14D2","1406","debugForeGndTaskNum","5.864650 ms","0000",
"","","","Memory Write","","",
"14.0","00.14D2","1406","debugForeGndTaskNum","8.106850 ms","0000",
"","","","Memory Write","","",
"15.0","00.14D2","1407","debugForeGndTaskNum","8.109616 ms","0000",
"","","","Memory Write","","",
"16.0","00.14D2","1407","debugForeGndTaskNum","8.130416 ms","0000",
"","","","Memory Write","","",
"17.0","00.14D2","1408","debugForeGndTaskNum","8.133183 ms","0000",
"","","","Memory Write","","",
"18.0","00.14D2","1408","debugForeGndTaskNum","8.929116 ms","0000",
"","","","Memory Write","","",
"19.0","00.14D2","1409","debugForeGndTaskNum","8.931883 ms","0000",
"","","","Memory Write","","",
"20.0","00.14D2","1409","debugForeGndTaskNum","8.946850 ms","0000",
"","","","Memory Write","","",
"21.0","00.14D2","1400","debugForeGndTaskNum","15.089750 ms","0000",
"","","","Memory Write","","",
"22.0","00.14D2","1400","debugForeGndTaskNum","15.191633 ms","0000",
"","","","Memory Write","","",
"23.0","00.14D2","1401","debugForeGndTaskNum","15.194400 ms","0000",
"","","","Memory Write","","",
"24.0","00.14D2","1401","debugForeGndTaskNum","15.223600 ms","0000",
"","","","Memory Write","","",
"25.0","00.14D2","1402","debugForeGndTaskNum","15.226366 ms","0000",
"","","","Memory Write","","",
"26.0","00.14D2","1402","debugForeGndTaskNum","15.431383 ms","0000",
"","","","Memory Write","","",
"27.0","00.14D2","1403","debugForeGndTaskNum","15.434150 ms","0000",
"","","","Memory Write","","",
"28.0","00.14D2","1403","debugForeGndTaskNum","15.440533 ms","0000",
"","","","Memory Write","","",
"29.0","00.14D2","1404","debugForeGndTaskNum","15.443316 ms","0000",
"","","","Memory Write","","",
"30.0","00.14D2","1404","debugForeGndTaskNum","15.732050 ms","0000",
"","","","Memory Write","","",
"31.0","00.14D2","1405","debugForeGndTaskNum","15.734816 ms","0000",
"","","","Memory Write","","",
"32.0","00.14D2","1405","debugForeGndTaskNum","16.052550 ms","0000",
"","","","Memory Write","","",
"33.0","00.14D2","1406","debugForeGndTaskNum","16.055316 ms","0000",
"","","","Memory Write","","",
"34.0","00.14D2","1406","debugForeGndTaskNum","17.646983 ms","0000",
"","","","Memory Write","","",
"35.0","00.14D2","1407","debugForeGndTaskNum","17.649766 ms","0000",
"","","","Memory Write","","",
"36.0","00.14D2","1407","debugForeGndTaskNum","17.670550 ms","0000",
"","","","Memory Write","","",
"37.0","00.14D2","1408","debugForeGndTaskNum","17.673316 ms","0000",
"","","","Memory Write","","",
"38.0","00.14D2","1408","debugForeGndTaskNum","18.464266 ms","0000",
"","","","Memory Write","","",
"39.0","00.14D2","1409","debugForeGndTaskNum","18.467033 ms","0000",
"","","","Memory Write","","",
"40.0","00.14D2","1409","debugForeGndTaskNum","18.482000 ms","0000",
"","","","Memory Write","","",
"41.0","00.14D2","1400","debugForeGndTaskNum","25.096066 ms","0000",
"","","","Memory Write","","",
"42.0","00.14D2","1400","debugForeGndTaskNum","25.197950 ms","0000",
"","","","Memory Write","","",
"43.0","00.14D2","1401","debugForeGndTaskNum","25.200716 ms","0000",
"","","","Memory Write","","",
"44.0","00.14D2","1401","debugForeGndTaskNum","25.230066 ms","0000",
"","","","Memory Write","","",
"45.0","00.14D2","1402","debugForeGndTaskNum","25.232833 ms","0000",
"","","","Memory Write","","",
"46.0","00.14D2","1402","debugForeGndTaskNum","25.437833 ms","0000",
"","","","Memory Write","","",
"47.0","00.14D2","1403","debugForeGndTaskNum","25.440600 ms","0000",
"","","","Memory Write","","",
"48.0","00.14D2","1403","debugForeGndTaskNum","25.447000 ms","0000",
"","","","Memory Write","","",
"49.0","00.14D2","1404","debugForeGndTaskNum","25.449766 ms","0000",
"","","","Memory Write","","",
"50.0","00.14D2","1404","debugForeGndTaskNum","25.524216 ms","0000",
"","","","Memory Write","","",
"51.0","00.14D2","1405","debugForeGndTaskNum","25.526983 ms","0000",
"","","","Memory Write","","",
"52.0","00.14D2","1405","debugForeGndTaskNum","25.568250 ms","0000",
"","","","Memory Write","","",
"53.0","00.14D2","1406","debugForeGndTaskNum","25.571016 ms","0000",
"","","","Memory Write","","",
"54.0","00.14D2","1406","debugForeGndTaskNum","26.999283 ms","0000",
"","","","Memory Write","","",
"55.0","00.14D2","1407","debugForeGndTaskNum","27.002050 ms","0000",
"","","","Memory Write","","",
"56.0","00.14D2","1407","debugForeGndTaskNum","27.539616 ms","0000",
"","","","Memory Write","","",
"57.0","00.14D2","1408","debugForeGndTaskNum","27.542383 ms","0000",
"","","","Memory Write","","",
"58.0","00.14D2","1408","debugForeGndTaskNum","28.333350 ms","0000",
"","","","Memory Write","","",
"59.0","00.14D2","1409","debugForeGndTaskNum","28.336116 ms","0000",
"","","","Memory Write","","",
"60.0","00.14D2","1409","debugForeGndTaskNum","28.351083 ms","0000",
"","","","Memory Write","","",
"61.0","00.14D2","1400","debugForeGndTaskNum","35.182366 ms","0000",
"","","","Memory Write","","",
"62.0","00.14D2","1400","debugForeGndTaskNum","35.284250 ms","0000",
"","","","Memory Write","","",
"63.0","00.14D2","1401","debugForeGndTaskNum","35.287016 ms","0000",
"","","","Memory Write","","",
"64.0","00.14D2","1401","debugForeGndTaskNum","35.316233 ms","0000",
"","","","Memory Write","","",
"65.0","00.14D2","1402","debugForeGndTaskNum","35.319000 ms","0000",
"","","","Memory Write","","",
"66.0","00.14D2","1402","debugForeGndTaskNum","35.524000 ms","0000",
"","","","Memory Write","","",
"67.0","00.14D2","1403","debugForeGndTaskNum","35.526766 ms","0000",
"","","","Memory Write","","",
"68.0","00.14D2","1403","debugForeGndTaskNum","35.533166 ms","0000",
"","","","Memory Write","","",
"69.0","00.14D2","1404","debugForeGndTaskNum","35.535933 ms","0000",
"","","","Memory Write","","",
"70.0","00.14D2","1404","debugForeGndTaskNum","35.834666 ms","0000",
"","","","Memory Write","","",
"71.0","00.14D2","1405","debugForeGndTaskNum","35.837433 ms","0000",
"","","","Memory Write","","",
"72.0","00.14D2","1405","debugForeGndTaskNum","35.951200 ms","0000",
"","","","Memory Write","","",
"73.0","00.14D2","1406","debugForeGndTaskNum","35.953983 ms","0000",
"","","","Memory Write","","",
"74.0","00.14D2","1406","debugForeGndTaskNum","38.381833 ms","0000",
"","","","Memory Write","","",
"75.0","00.14D2","1407","debugForeGndTaskNum","38.384616 ms","0000",
"","","","Memory Write","","",
"76.0","00.14D2","1407","debugForeGndTaskNum","38.405400 ms","0000",
"","","","Memory Write","","",
"77.0","00.14D2","1408","debugForeGndTaskNum","38.408166 ms","0000",
"","","","Memory Write","","",
"78.0","00.14D2","1408","debugForeGndTaskNum","40.145433 ms","0000",
"","","","Memory Write","","",
"79.0","00.14D2","1409","debugForeGndTaskNum","40.148200 ms","0000",
"","","","Memory Write","","",
"80.0","00.14D2","1409","debugForeGndTaskNum","40.163183 ms","0000",
"","","","Memory Write","","",
"81.0","00.14D2","1400","debugForeGndTaskNum","45.125216 ms","0000",
"","","","Memory Write","","",
"82.0","00.14D2","1400","debugForeGndTaskNum","45.227100 ms","0000",
"","","","Memory Write","","",
"83.0","00.14D2","1401","debugForeGndTaskNum","45.229866 ms","0000",
"","","","Memory Write","","",
"84.0","00.14D2","1401","debugForeGndTaskNum","45.259216 ms","0000",
"","","","Memory Write","","",
"85.0","00.14D2","1402","debugForeGndTaskNum","45.261983 ms","0000",
"","","","Memory Write","","",
"86.0","00.14D2","1402","debugForeGndTaskNum","45.470283 ms","0000",
"","","","Memory Write","","",
"87.0","00.14D2","1403","debugForeGndTaskNum","45.473050 ms","0000",
"","","","Memory Write","","",
"88.0","00.14D2","1403","debugForeGndTaskNum","45.479433 ms","0000",
"","","","Memory Write","","",
"89.0","00.14D2","1404","debugForeGndTaskNum","45.482200 ms","0000",
"","","","Memory Write","","",
"90.0","00.14D2","1404","debugForeGndTaskNum","45.793150 ms","0000",
"","","","Memory Write","","",
"91.0","00.14D2","1405","debugForeGndTaskNum","45.795916 ms","0000",
"","","","Memory Write","","",
"92.0","00.14D2","1405","debugForeGndTaskNum","46.005016 ms","0000",
"","","","Memory Write","","",
"93.0","00.14D2","1406","debugForeGndTaskNum","46.007783 ms","0000",
"","","","Memory Write","","",
"94.0","00.14D2","1406","debugForeGndTaskNum","49.013566 ms","0000",
"","","","Memory Write","","",
"95.0","00.14D2","1407","debugForeGndTaskNum","49.016333 ms","0000",
"","","","Memory Write","","",
"96.0","00.14D2","1407","debugForeGndTaskNum","49.037116 ms","0000",
"","","","Memory Write","","",
"97.0","00.14D2","1408","debugForeGndTaskNum","49.039883 ms","0000",
"","","","Memory Write","","",
"98.0","00.14D2","1408","debugForeGndTaskNum","49.836133 ms","0000",
"","","","Memory Write","","",
"99.0","00.14D2","1409","debugForeGndTaskNum","49.838900 ms","0000",
"","","","Memory Write","","",
"100.0","00.14D2","1409","debugForeGndTaskNum","49.853866 ms","0000",
"","","","Memory Write","","",
"101.0","00.14D2","1400","debugForeGndTaskNum","55.157416 ms","0000",
"","","","Memory Write","","",
"102.0","00.14D2","1400","debugForeGndTaskNum","55.262600 ms","0000",
"","","","Memory Write","","",
"103.0","00.14D2","1401","debugForeGndTaskNum","55.265366 ms","0000",
"","","","Memory Write","","",
"104.0","00.14D2","1401","debugForeGndTaskNum","55.294383 ms","0000",
"","","","Memory Write","","",
"105.0","00.14D2","1402","debugForeGndTaskNum","55.297150 ms","0000",
"","","","Memory Write","","",
"106.0","00.14D2","1402","debugForeGndTaskNum","55.502166 ms","0000",
"","","","Memory Write","","",
"107.0","00.14D2","1403","debugForeGndTaskNum","55.504933 ms","0000",
"","","","Memory Write","","",
"108.0","00.14D2","1403","debugForeGndTaskNum","55.511316 ms","0000",
"","","","Memory Write","","",
"109.0","00.14D2","1404","debugForeGndTaskNum","55.514083 ms","0000",
"","","","Memory Write","","",
"110.0","00.14D2","1404","debugForeGndTaskNum","55.817450 ms","0000",
"","","","Memory Write","","",
"111.0","00.14D2","1405","debugForeGndTaskNum","55.820216 ms","0000",
"","","","Memory Write","","",
"112.0","00.14D2","1405","debugForeGndTaskNum","55.931450 ms","0000",
"","","","Memory Write","","",
"113.0","00.14D2","1406","debugForeGndTaskNum","55.934216 ms","0000",
"","","","Memory Write","","",
"114.0","00.14D2","1406","debugForeGndTaskNum","58.166833 ms","0000",
"","","","Memory Write","","",
"115.0","00.14D2","1407","debugForeGndTaskNum","58.169600 ms","0000",
"","","","Memory Write","","",
"116.0","00.14D2","1407","debugForeGndTaskNum","58.190400 ms","0000",
"","","","Memory Write","","",
"117.0","00.14D2","1408","debugForeGndTaskNum","58.193166 ms","0000",
"","","","Memory Write","","",
"118.0","00.14D2","1408","debugForeGndTaskNum","58.989416 ms","0000",
"","","","Memory Write","","",
"119.0","00.14D2","1409","debugForeGndTaskNum","58.992183 ms","0000",
"","","","Memory Write","","",
"120.0","00.14D2","1409","debugForeGndTaskNum","59.007150 ms","0000",
"","","","Memory Write","","",
"121.0","00.14D2","1400","debugForeGndTaskNum","65.123250 ms","0000",
"","","","Memory Write","","",
"122.0","00.14D2","1400","debugForeGndTaskNum","65.228450 ms","0000",
"","","","Memory Write","","",
"123.0","00.14D2","1401","debugForeGndTaskNum","65.231216 ms","0000",
"","","","Memory Write","","",
"124.0","00.14D2","1401","debugForeGndTaskNum","65.260550 ms","0000",
"","","","Memory Write","","",
"125.0","00.14D2","1402","debugForeGndTaskNum","65.263316 ms","0000",
"","","","Memory Write","","",
"126.0","00.14D2","1402","debugForeGndTaskNum","65.471633 ms","0000",
"","","","Memory Write","","",
"127.0","00.14D2","1403","debugForeGndTaskNum","65.474400 ms","0000",
"","","","Memory Write","","",
"128.0","00.14D2","1403","debugForeGndTaskNum","65.480783 ms","0000",
"","","","Memory Write","","",
"129.0","00.14D2","1404","debugForeGndTaskNum","65.483550 ms","0000",
"","","","Memory Write","","",
"130.0","00.14D2","1404","debugForeGndTaskNum","65.801116 ms","0000",
"","","","Memory Write","","",
"131.0","00.14D2","1405","debugForeGndTaskNum","65.803883 ms","0000",
"","","","Memory Write","","",
"132.0","00.14D2","1405","debugForeGndTaskNum","65.917666 ms","0000",
"","","","Memory Write","","",
"133.0","00.14D2","1406","debugForeGndTaskNum","65.920433 ms","0000",
"","","","Memory Write","","",
"134.0","00.14D2","1406","debugForeGndTaskNum","70.018150 ms","0000",
"","","","Memory Write","","",
"135.0","00.14D2","1407","debugForeGndTaskNum","70.020916 ms","0000",
"","","","Memory Write","","",
"136.0","00.14D2","1407","debugForeGndTaskNum","70.041700 ms","0000",
"","","","Memory Write","","",
"137.0","00.14D2","1408","debugForeGndTaskNum","70.044466 ms","0000",
"","","","Memory Write","","",
"138.0","00.14D2","1408","debugForeGndTaskNum","70.853350 ms","0000",
"","","","Memory Write","","",
"139.0","00.14D2","1409","debugForeGndTaskNum","70.856100 ms","0000",
"","","","Memory Write","","",
"140.0","00.14D2","1409","debugForeGndTaskNum","70.871066 ms","0000",
"","","","Memory Write","","",
"141.0","00.14D2","1400","debugForeGndTaskNum","75.111766 ms","0000",
"","","","Memory Write","","",
"142.0","00.14D2","1400","debugForeGndTaskNum","75.218100 ms","0000",
"","","","Memory Write","","",
"143.0","00.14D2","1401","debugForeGndTaskNum","75.220866 ms","0000",
"","","","Memory Write","","",
"144.0","00.14D2","1401","debugForeGndTaskNum","75.250066 ms","0000",
"","","","Memory Write","","",
"145.0","00.14D2","1402","debugForeGndTaskNum","75.252833 ms","0000",
"","","","Memory Write","","",
"146.0","00.14D2","1402","debugForeGndTaskNum","75.465583 ms","0000",
"","","","Memory Write","","",
"147.0","00.14D2","1403","debugForeGndTaskNum","75.468350 ms","0000",
"","","","Memory Write","","",
"148.0","00.14D2","1403","debugForeGndTaskNum","75.474733 ms","0000",
"","","","Memory Write","","",
"149.0","00.14D2","1404","debugForeGndTaskNum","75.477516 ms","0000",
"","","","Memory Write","","",
"150.0","00.14D2","1404","debugForeGndTaskNum","75.551966 ms","0000",
"","","","Memory Write","","",
"151.0","00.14D2","1405","debugForeGndTaskNum","75.554733 ms","0000",
"","","","Memory Write","","",
"152.0","00.14D2","1405","debugForeGndTaskNum","75.599450 ms","0000",
"","","","Memory Write","","",
"153.0","00.14D2","1406","debugForeGndTaskNum","75.602216 ms","0000",
"","","","Memory Write","","",
