"Number","Address","Data","Content","Time","AUX",
"0.0","0000","0000","TRIGGER",">765.808866 ms","0000",
"1.0","00.14D2","1400","debugForeGndTaskNum","106.317 us
>760.720483 ms","0000",
"","","","Memory Write","","",
"2.0","00.14D2","1400","debugForeGndTaskNum","2.766 us
>760.614166 ms","0000",
"","","","Memory Write","","",
"3.0","00.14D2","1401","debugForeGndTaskNum","29.334 us
>760.611400 ms","0000",
"","","","Memory Write","","",
"4.0","00.14D2","1401","debugForeGndTaskNum","2.766 us
>760.582066 ms","0000",
"","","","Memory Write","","",
"5.0","00.14D2","1402","debugForeGndTaskNum","209.434 us
>760.579300 ms","0000",
"","","","Memory Write","","",
"6.0","00.14D2","1402","debugForeGndTaskNum","2.783 us
>760.369866 ms","0000",
"","","","Memory Write","","",
"7.0","00.14D2","1403","debugForeGndTaskNum","6.383 us
>760.367083 ms","0000",
"","","","Memory Write","","",
"8.0","00.14D2","1403","debugForeGndTaskNum","2.767 us
>760.360700 ms","0000",
"","","","Memory Write","","",
"9.0","00.14D2","1404","debugForeGndTaskNum","296.750 us
>760.357933 ms","0000",
"","","","Memory Write","","",
"10.0","00.14D2","1404","debugForeGndTaskNum","2.767 us
>760.061183 ms","0000",
"","","","Memory Write","","",
"11.0","00.14D2","1405","debugForeGndTaskNum","111.433 us
>760.058416 ms","0000",
"","","","Memory Write","","",
"12.0","00.14D2","1405","debugForeGndTaskNum","2.767 us
>759.946983 ms","0000",
"","","","Memory Write","","",
"13.0","00.14D2","1406","debugForeGndTaskNum","2.242200 ms
>759.944216 ms","0000",
"","","","Memory Write","","",
"14.0","00.14D2","1406","debugForeGndTaskNum","2.766 us
>757.702016 ms","0000",
"","","","Memory Write","","",
"15.0","00.14D2","1407","debugForeGndTaskNum","20.800 us
>757.699250 ms","0000",
"","","","Memory Write","","",
"16.0","00.14D2","1407","debugForeGndTaskNum","2.767 us
>757.678450 ms","0000",
"","","","Memory Write","","",
"17.0","00.14D2","1408","debugForeGndTaskNum","795.933 us
>757.675683 ms","0000",
"","","","Memory Write","","",
"18.0","00.14D2","1408","debugForeGndTaskNum","2.767 us
>756.879750 ms","0000",
"","","","Memory Write","","",
"19.0","00.14D2","1409","debugForeGndTaskNum","14.967 us
>756.876983 ms","0000",
"","","","Memory Write","","",
