"Number","Address","Data","Content","Time","AUX",
"0.0","0000","0000","TRIGGER",">5.577812266 s ","0000",
"1.0","00.146C","1401","Memory Write",">5.466570183 s ","0000",
"3.0","00.146C","1401","Memory Write",">5.331095350 s ","0000",
"5.0","00.146C","1401","Memory Write",">5.198064466 s ","0000",
"7.0","00.146C","1401","Memory Write",">5.066128766 s ","0000",
"9.0","00.146C","1401","Memory Write",">4.930672000 s ","0000",
"11.0","00.146C","1401","Memory Write",">4.797638483 s ","0000",
"13.0","00.146C","1401","Memory Write",">4.665780700 s ","0000",
"15.0","00.146C","1401","Memory Write",">4.530232900 s ","0000",
"17.0","00.146C","1401","Memory Write",">4.397208500 s ","0000",
"19.0","00.146C","1401","Memory Write",">4.265369183 s ","0000",
"21.0","00.146C","1401","Memory Write",">4.129907050 s ","0000",
"23.0","00.146C","1401","Memory Write",">3.999160100 s ","0000",
"25.0","00.146C","1401","Memory Write",">3.861186866 s ","0000",
"27.0","00.146C","1401","Memory Write",">3.735904416 s ","0000",
"29.0","00.146C","1401","Memory Write",">3.598819433 s ","0000",
"31.0","00.146C","1401","Memory Write",">3.467006250 s ","0000",
"33.0","00.146C","1401","Memory Write",">3.335578250 s ","0000",
"35.0","00.146C","1401","Memory Write",">3.198512500 s ","0000",
"37.0","00.146C","1401","Memory Write",">3.066686016 s ","0000",
"39.0","00.146C","1401","Memory Write",">2.935170933 s ","0000",
"41.0","00.146C","1401","Memory Write",">2.798103466 s ","0000",
"43.0","00.146C","1401","Memory Write",">2.666242883 s ","0000",
"45.0","00.146C","1401","Memory Write",">2.530779033 s ","0000",
"47.0","00.146C","1401","Memory Write",">2.397659983 s ","0000",
"49.0","00.146C","1401","Memory Write",">2.265824216 s ","0000",
"51.0","00.146C","1401","Memory Write",">2.130348933 s ","0000",
"53.0","00.146C","1401","Memory Write",">1.999608816 s ","0000",
"55.0","00.146C","1401","Memory Write",">1.865402250 s ","0000",
"57.0","00.146C","1401","Memory Write",">1.736273500 s ","0000",
"59.0","00.146C","1401","Memory Write",">1.599201333 s ","0000",
"61.0","00.146C","1401","Memory Write",">1.467387433 s ","0000",
"63.0","00.146C","1401","Memory Write",">1.335854766 s ","0000",
"65.0","00.146C","1401","Memory Write",">1.198778850 s ","0000",
"67.0","00.146C","1401","Memory Write",">1.066956916 s ","0000",
"69.0","00.146C","1401","Memory Write",">935.529850 ms","0000",
"71.0","00.146C","1401","Memory Write",">798.361966 ms","0000",
"73.0","00.146C","1401","Memory Write",">666.529000 ms","0000",
"75.0","00.146C","1401","Memory Write",">535.105766 ms","0000",
"77.0","00.146C","1401","Memory Write",">398.044333 ms","0000",
"79.0","00.146C","1401","Memory Write",">266.220483 ms","0000",
"81.0","00.146C","1401","Memory Write",">130.738850 ms","0000",
"83.0","00.146C","1401","Memory Write",">1 ns","0000",
