"Number","Address","Data","Content","Time","AUX",
"0.0","0000","0000","TRIGGER","0 ns","0000",
"1.0","00.DEC0","FF3B","void ioFault (IO_FAULT_DRIVER id, IO_FAULT_CODE code, IO_FAULT_ARG arg)","5.557885533 s ","0000",
"","","","ioFault","","",
"","","","3B PSHD     ","","",
"","","","OP-CODE Fetch","","",
"2.0","00.14D6","02D6","debugIOFaultDriver","5.557886716 s ","0000",
"","","","Memory Write","","",
"3.0","00.14D4","1405","debugIOFaultCode","5.557886916 s ","0000",
"","","","Memory Write","","",
"4.0","00.14D4","00D4","debugIOFaultArg","5.557887116 s ","0000",
"","","","Memory Write","","",
"6.0","00.DEC0","FF3B","void ioFault (IO_FAULT_DRIVER id, IO_FAULT_CODE code, IO_FAULT_ARG arg)","9.048232950 s ","0000",
"","","","ioFault","","",
"","","","3B PSHD     ","","",
"","","","OP-CODE Fetch","","",
"8.0","00.DEBA","DE50","(void)_asm ("orcc #0x50\n");","10.550515333 s ","0000",
"","","","systemFault","","",
"","","","DE50 LDX      TC0 (50)","","",
"","","","OP-CODE Fetch","","",
"10.0","00.D126","D744","ldab    #0x44       ; Select 2**20 divisor and suspend on BDM","10.755120566 s ","0000",
"","","","D7 TSTB     ","","",
"","","","OP-CODE Fetch","","",
"11.0","00.003C","443C","COPCTL","10.755122600 s ","0000",
"","","","Memory Write","","",
"13.0","00.14D4","3FEC","debugIOFaultArg","10.774347483 s ","0000",
"","","","debugIOFaultCode","","",
"","","","Memory Write","","",
"14.0","00.14D6","42E7","debugIOFaultDriver","10.774347850 s ","0000",
"","","","CfgRxBuf","","",
"","","","Memory Write","","",
"15.0","00.14D4","01D4","debugIOFaultArg","10.782284233 s ","0000",
"","","","Memory Write","","",
"16.0","00.14D4","02D4","debugIOFaultArg","10.782284366 s ","0000",
"","","","Memory Write","","",
"17.0","00.14D4","04D4","debugIOFaultArg","10.782284516 s ","0000",
"","","","Memory Write","","",
"18.0","00.14D4","08D4","debugIOFaultArg","10.782284683 s ","0000",
"","","","Memory Write","","",
"19.0","00.14D4","10D4","debugIOFaultArg","10.782284850 s ","0000",
"","","","Memory Write","","",
"20.0","00.14D4","20D4","debugIOFaultArg","10.782285016 s ","0000",
"","","","Memory Write","","",
"21.0","00.14D4","40D4","debugIOFaultArg","10.782285166 s ","0000",
"","","","Memory Write","","",
"22.0","00.14D4","80D4","debugIOFaultArg","10.782285333 s ","0000",
"","","","Memory Write","","",
"23.0","00.14D4","00D4","debugIOFaultArg","10.782285500 s ","0000",
"","","","Memory Write","","",
"24.0","00.14D4","1401","debugIOFaultCode","10.782285983 s ","0000",
"","","","Memory Write","","",
"25.0","00.14D4","1402","debugIOFaultCode","10.782286116 s ","0000",
"","","","Memory Write","","",
"26.0","00.14D4","1404","debugIOFaultCode","10.782286266 s ","0000",
"","","","Memory Write","","",
"27.0","00.14D4","1408","debugIOFaultCode","10.782286433 s ","0000",
"","","","Memory Write","","",
"28.0","00.14D4","1410","debugIOFaultCode","10.782286600 s ","0000",
"","","","Memory Write","","",
"29.0","00.14D4","1420","debugIOFaultCode","10.782286766 s ","0000",
"","","","Memory Write","","",
"30.0","00.14D4","1440","debugIOFaultCode","10.782286916 s ","0000",
"","","","Memory Write","","",
"31.0","00.14D4","1480","debugIOFaultCode","10.782287083 s ","0000",
"","","","Memory Write","","",
"32.0","00.14D4","1400","debugIOFaultCode","10.782287250 s ","0000",
"","","","Memory Write","","",
"33.0","00.14D6","01D6","debugIOFaultDriver","10.782287733 s ","0000",
"","","","Memory Write","","",
"34.0","00.14D6","02D6","debugIOFaultDriver","10.782287850 s ","0000",
"","","","Memory Write","","",
"35.0","00.14D6","04D6","debugIOFaultDriver","10.782288016 s ","0000",
"","","","Memory Write","","",
"36.0","00.14D6","08D6","debugIOFaultDriver","10.782288183 s ","0000",
"","","","Memory Write","","",
"37.0","00.14D6","10D6","debugIOFaultDriver","10.782288350 s ","0000",
"","","","Memory Write","","",
"38.0","00.14D6","20D6","debugIOFaultDriver","10.782288500 s ","0000",
"","","","Memory Write","","",
"39.0","00.14D6","40D6","debugIOFaultDriver","10.782288666 s ","0000",
"","","","Memory Write","","",
"40.0","00.14D6","80D6","debugIOFaultDriver","10.782288833 s ","0000",
"","","","Memory Write","","",
"41.0","00.14D6","00D6","debugIOFaultDriver","10.782289000 s ","0000",
"","","","Memory Write","","",
"43.0","00.14D4","00D4","debugIOFaultArg","10.801934783 s ","0000",
"","","","Memory Write","","",
"44.0","00.14D4","1400","debugIOFaultCode","10.801935083 s ","0000",
"","","","Memory Write","","",
"45.0","00.14D6","00D6","debugIOFaultDriver","10.801935366 s ","0000",
"","","","Memory Write","","",
"47.0","00.DEC0","FF3B","void ioFault (IO_FAULT_DRIVER id, IO_FAULT_CODE code, IO_FAULT_ARG arg)","19.004627783 s ","0000",
"","","","ioFault","","",
"","","","3B PSHD     ","","",
"","","","OP-CODE Fetch","","",
"48.0","00.14D6","02D6","debugIOFaultDriver","19.004628950 s ","0000",
"","","","Memory Write","","",
"49.0","00.14D4","1405","debugIOFaultCode","19.004629150 s ","0000",
"","","","Memory Write","","",
"50.0","00.14D4","00D4","debugIOFaultArg","19.004629366 s ","0000",
"","","","Memory Write","","",
"52.0","00.DEC0","FF3B","void ioFault (IO_FAULT_DRIVER id, IO_FAULT_CODE code, IO_FAULT_ARG arg)","22.494968566 s ","0000",
"","","","ioFault","","",
"","","","3B PSHD     ","","",
"","","","OP-CODE Fetch","","",
"54.0","00.DEBA","DE52","(void)_asm ("orcc #0x50\n");","23.997243166 s ","0000",
"","","","systemFault","","",
"","","","DE52 LDX      TC1 (52)","","",
