"Number","Address","Data","Content","Time","AUX",
"0.0","0000","0000","TRIGGER",">104.929285466 s ","0000",
"1.0","00.DEC0","FF3B","void ioFault (IO_FAULT_DRIVER id, IO_FAULT_CODE code, IO_FAULT_ARG arg)","3.490347417 s 
1.183 us
3.490347417 s 
1.183 us","0000",
"","","","ioFault","","",
"","","","3B PSHD     ","","",
"","","","OP-CODE Fetch","","",
"2.0","00.14D6","02D6","debugIOFaultDriver","200 ns
400 ns","0000",
"","","","Memory Write","","",
"3.0","00.14D4","1405","debugIOFaultCode","200 ns
200 ns","0000",
"","","","Memory Write","","",
"4.0","00.14D4","00D4","debugIOFaultArg","3.490345834 s 
3.490345834 s ","0000",
"","","","Memory Write","","",
"6.0","00.DEC0","FF3B","void ioFault (IO_FAULT_DRIVER id, IO_FAULT_CODE code, IO_FAULT_ARG arg)","1.502282383 s 
1.502282383 s 
1.502282383 s 
1.502282383 s ","0000",
"","","","ioFault","","",
"","","","3B PSHD     ","","",
"","","","OP-CODE Fetch","","",
"8.0","00.DEBA","DE50","(void)_asm ("orcc #0x50\n");","204.605233 ms
204.607267 ms
204.605233 ms
204.605233 ms","0000",
"","","","systemFault","","",
"","","","DE50 LDX      TC0 (50)","","",
"","","","OP-CODE Fetch","","",
"10.0","00.D126","D744","ldab    #0x44       ; Select 2**20 divisor and suspend on BDM","8.249507217 s 
8.249507217 s 
2.034 us","0000",
"","","","D7 TSTB     ","","",
"","","","OP-CODE Fetch","","",
"11.0","00.003C","443C","COPCTL","19.224883 ms
19.224883 ms","0000",
"","","","Memory Write","","",
"13.0","00.14D4","3FEC","debugIOFaultArg","0 ns
367 ns
367 ns","0000",
"","","","debugIOFaultCode","","",
"","","","Memory Write","","",
"14.0","00.14D6","42E7","debugIOFaultDriver","0 ns
7.936383 ms
7.936383 ms","0000",
"","","","CfgRxBuf","","",
"","","","Memory Write","","",
"15.0","00.14D4","01D4","debugIOFaultArg","133 ns
133 ns","0000",
"","","","Memory Write","","",
"16.0","00.14D4","02D4","debugIOFaultArg","150 ns
150 ns","0000",
"","","","Memory Write","","",
"17.0","00.14D4","04D4","debugIOFaultArg","167 ns
167 ns","0000",
"","","","Memory Write","","",
"18.0","00.14D4","08D4","debugIOFaultArg","167 ns
167 ns","0000",
"","","","Memory Write","","",
"19.0","00.14D4","10D4","debugIOFaultArg","166 ns
166 ns","0000",
"","","","Memory Write","","",
"20.0","00.14D4","20D4","debugIOFaultArg","150 ns
150 ns","0000",
"","","","Memory Write","","",
"21.0","00.14D4","40D4","debugIOFaultArg","167 ns
167 ns","0000",
"","","","Memory Write","","",
"22.0","00.14D4","80D4","debugIOFaultArg","167 ns
167 ns","0000",
"","","","Memory Write","","",
"23.0","00.14D4","00D4","debugIOFaultArg","483 ns
2.233 us","0000",
"","","","Memory Write","","",
"24.0","00.14D4","1401","debugIOFaultCode","133 ns
1.750 us","0000",
"","","","Memory Write","","",
"25.0","00.14D4","1402","debugIOFaultCode","150 ns
1.617 us","0000",
"","","","Memory Write","","",
"26.0","00.14D4","1404","debugIOFaultCode","167 ns
1.467 us","0000",
"","","","Memory Write","","",
"27.0","00.14D4","1408","debugIOFaultCode","167 ns
1.300 us","0000",
"","","","Memory Write","","",
"28.0","00.14D4","1410","debugIOFaultCode","166 ns
1.133 us","0000",
"","","","Memory Write","","",
"29.0","00.14D4","1420","debugIOFaultCode","150 ns
967 ns","0000",
"","","","Memory Write","","",
"30.0","00.14D4","1440","debugIOFaultCode","167 ns
817 ns","0000",
"","","","Memory Write","","",
"31.0","00.14D4","1480","debugIOFaultCode","167 ns
650 ns","0000",
"","","","Memory Write","","",
"32.0","00.14D4","1400","debugIOFaultCode","483 ns
483 ns","0000",
"","","","Memory Write","","",
"33.0","00.14D6","01D6","debugIOFaultDriver","117 ns
117 ns","0000",
"","","","Memory Write","","",
"34.0","00.14D6","02D6","debugIOFaultDriver","166 ns
166 ns","0000",
"","","","Memory Write","","",
"35.0","00.14D6","04D6","debugIOFaultDriver","167 ns
167 ns","0000",
"","","","Memory Write","","",
"36.0","00.14D6","08D6","debugIOFaultDriver","167 ns
167 ns","0000",
"","","","Memory Write","","",
"37.0","00.14D6","10D6","debugIOFaultDriver","150 ns
150 ns","0000",
"","","","Memory Write","","",
"38.0","00.14D6","20D6","debugIOFaultDriver","166 ns
166 ns","0000",
"","","","Memory Write","","",
"39.0","00.14D6","40D6","debugIOFaultDriver","167 ns
167 ns","0000",
"","","","Memory Write","","",
"40.0","00.14D6","80D6","debugIOFaultDriver","167 ns
167 ns","0000",
"","","","Memory Write","","",
"41.0","00.14D6","00D6","debugIOFaultDriver","19.645783 ms
19.645783 ms","0000",
"","","","Memory Write","","",
"43.0","00.14D4","00D4","debugIOFaultArg","300 ns
583 ns","0000",
"","","","Memory Write","","",
"44.0","00.14D4","1400","debugIOFaultCode","283 ns
283 ns","0000",
"","","","Memory Write","","",
"45.0","00.14D6","00D6","debugIOFaultDriver","8.202692417 s 
8.202692417 s ","0000",
"","","","Memory Write","","",
