"Number","Address","Data","Content","Time","AUX",
"0.0","0000","0000","TRIGGER","0 ns","0000",
"1.0","00.EDB8","FF12"," INVALID_OPCODE","514.866 us","0000",
"","","","OP-CODE Fetch","","",
"3.0","00.EDB8","FF12"," INVALID_OPCODE","10.509383 ms","0000",
"","","","OP-CODE Fetch","","",
"5.0","00.EDB8","FF12"," INVALID_OPCODE","20.516500 ms","0000",
"","","","OP-CODE Fetch","","",
"7.0","00.EDB8","FF12"," INVALID_OPCODE","30.526400 ms","0000",
"","","","OP-CODE Fetch","","",
"9.0","00.EDB8","FF12"," INVALID_OPCODE","40.524800 ms","0000",
"","","","OP-CODE Fetch","","",
"11.0","00.EDB8","FF12"," INVALID_OPCODE","50.515666 ms","0000",
"","","","OP-CODE Fetch","","",
"13.0","00.EDB8","FF12"," INVALID_OPCODE","60.558616 ms","0000",
"","","","OP-CODE Fetch","","",
"15.0","00.EDB8","FF12"," INVALID_OPCODE","70.572850 ms","0000",
"","","","OP-CODE Fetch","","",
"17.0","00.EDB8","FF12"," INVALID_OPCODE","80.506833 ms","0000",
"","","","OP-CODE Fetch","","",
"19.0","00.EDB8","FF12"," INVALID_OPCODE","90.603933 ms","0000",
"","","","OP-CODE Fetch","","",
"21.0","00.EDB8","FF12"," INVALID_OPCODE","100.523200 ms","0000",
"","","","OP-CODE Fetch","","",
"23.0","00.EDB8","FF12"," INVALID_OPCODE","110.522766 ms","0000",
"","","","OP-CODE Fetch","","",
"25.0","00.EDB8","FF12"," INVALID_OPCODE","120.548050 ms","0000",
"","","","OP-CODE Fetch","","",
"27.0","00.EDB8","FF12"," INVALID_OPCODE","130.598950 ms","0000",
"","","","OP-CODE Fetch","","",
"29.0","00.EDB8","FF12"," INVALID_OPCODE","140.518433 ms","0000",
"","","","OP-CODE Fetch","","",
"31.0","00.EDB8","FF12"," INVALID_OPCODE","150.516833 ms","0000",
"","","","OP-CODE Fetch","","",
"33.0","00.EDB8","FF12"," INVALID_OPCODE","160.528616 ms","0000",
"","","","OP-CODE Fetch","","",
"35.0","00.EDB8","FF12"," INVALID_OPCODE","170.533366 ms","0000",
"","","","OP-CODE Fetch","","",
"37.0","00.EDB8","FF12"," INVALID_OPCODE","180.513033 ms","0000",
"","","","OP-CODE Fetch","","",
"39.0","00.EDB8","FF12"," INVALID_OPCODE","190.562666 ms","0000",
"","","","OP-CODE Fetch","","",
"41.0","00.EDB8","FF12"," INVALID_OPCODE","200.532333 ms","0000",
"","","","OP-CODE Fetch","","",
"43.0","00.EDB8","FF12"," INVALID_OPCODE","210.571183 ms","0000",
"","","","OP-CODE Fetch","","",
"45.0","00.EDB8","FF12"," INVALID_OPCODE","220.523916 ms","0000",
"","","","OP-CODE Fetch","","",
"47.0","00.EDB8","FF12"," INVALID_OPCODE","230.573633 ms","0000",
"","","","OP-CODE Fetch","","",
"49.0","00.EDB8","FF12"," INVALID_OPCODE","240.530750 ms","0000",
"","","","OP-CODE Fetch","","",
"51.0","00.EDB8","FF12"," INVALID_OPCODE","250.586016 ms","0000",
"","","","OP-CODE Fetch","","",
"53.0","00.EDB8","FF12"," INVALID_OPCODE","260.517183 ms","0000",
"","","","OP-CODE Fetch","","",
"55.0","00.EDB8","FF12"," INVALID_OPCODE","270.523750 ms","0000",
"","","","OP-CODE Fetch","","",
"57.0","00.EDB8","FF12"," INVALID_OPCODE","280.589933 ms","0000",
"","","","OP-CODE Fetch","","",
"59.0","00.EDB8","FF12"," INVALID_OPCODE","290.531450 ms","0000",
"","","","OP-CODE Fetch","","",
"61.0","00.EDB8","FF12"," INVALID_OPCODE","300.577933 ms","0000",
"","","","OP-CODE Fetch","","",
"63.0","00.EDB8","FF12"," INVALID_OPCODE","310.533816 ms","0000",
"","","","OP-CODE Fetch","","",
"65.0","00.EDB8","FF12"," INVALID_OPCODE","320.526433 ms","0000",
"","","","OP-CODE Fetch","","",
"67.0","00.EDB8","FF12"," INVALID_OPCODE","330.536016 ms","0000",
"","","","OP-CODE Fetch","","",
"69.0","00.EDB8","FF12"," INVALID_OPCODE","340.585733 ms","0000",
"","","","OP-CODE Fetch","","",
"71.0","00.EDB8","FF12"," INVALID_OPCODE","350.534483 ms","0000",
"","","","OP-CODE Fetch","","",
"73.0","00.EDB8","FF12"," INVALID_OPCODE","360.519916 ms","0000",
"","","","OP-CODE Fetch","","",
"75.0","00.EDB8","FF12"," INVALID_OPCODE","370.545433 ms","0000",
"","","","OP-CODE Fetch","","",
"77.0","00.EDB8","FF12"," INVALID_OPCODE","380.552700 ms","0000",
"","","","OP-CODE Fetch","","",
"79.0","00.EDB8","FF12"," INVALID_OPCODE","390.531233 ms","0000",
"","","","OP-CODE Fetch","","",
"81.0","00.EDB8","FF12"," INVALID_OPCODE","400.536066 ms","0000",
"","","","OP-CODE Fetch","","",
"83.0","00.EDB8","FF12"," INVALID_OPCODE","410.531166 ms","0000",
"","","","OP-CODE Fetch","","",
"85.0","00.EDB8","FF12"," INVALID_OPCODE","420.538100 ms","0000",
"","","","OP-CODE Fetch","","",
"87.0","00.EDB8","FF12"," INVALID_OPCODE","430.522333 ms","0000",
"","","","OP-CODE Fetch","","",
"89.0","00.EDB8","FF12"," INVALID_OPCODE","440.546333 ms","0000",
"","","","OP-CODE Fetch","","",
"91.0","00.EDB8","FF12"," INVALID_OPCODE","450.522300 ms","0000",
"","","","OP-CODE Fetch","","",
"93.0","00.EDB8","FF12"," INVALID_OPCODE","460.575433 ms","0000",
"","","","OP-CODE Fetch","","",
"95.0","00.EDB8","FF12"," INVALID_OPCODE","470.524100 ms","0000",
"","","","OP-CODE Fetch","","",
"97.0","00.EDB8","FF12"," INVALID_OPCODE","480.608316 ms","0000",
"","","","OP-CODE Fetch","","",
"99.0","00.EDB8","FF12"," INVALID_OPCODE","490.549783 ms","0000",
"","","","OP-CODE Fetch","","",
"101.0","00.EDB8","FF12"," INVALID_OPCODE","500.594733 ms","0000",
"","","","OP-CODE Fetch","","",
"103.0","00.EDB8","FF12"," INVALID_OPCODE","510.550883 ms","0000",
"","","","OP-CODE Fetch","","",
"105.0","00.EDB8","FF12"," INVALID_OPCODE","520.540700 ms","0000",
"","","","OP-CODE Fetch","","",
"107.0","00.EDB8","FF12"," INVALID_OPCODE","530.519833 ms","0000",
"","","","OP-CODE Fetch","","",
"109.0","00.EDB8","FF12"," INVALID_OPCODE","540.522300 ms","0000",
"","","","OP-CODE Fetch","","",
"111.0","00.EDB8","FF12"," INVALID_OPCODE","550.545883 ms","0000",
"","","","OP-CODE Fetch","","",
"113.0","00.EDB8","FF12"," INVALID_OPCODE","560.531066 ms","0000",
"","","","OP-CODE Fetch","","",
"115.0","00.EDB8","FF12"," INVALID_OPCODE","570.539550 ms","0000",
"","","","OP-CODE Fetch","","",
"117.0","00.EDB8","FF12"," INVALID_OPCODE","580.542450 ms","0000",
"","","","OP-CODE Fetch","","",
"119.0","00.EDB8","FF12"," INVALID_OPCODE","590.527750 ms","0000",
"","","","OP-CODE Fetch","","",
"121.0","00.EDB8","FF12"," INVALID_OPCODE","600.600366 ms","0000",
"","","","OP-CODE Fetch","","",
"123.0","00.EDB8","FF12"," INVALID_OPCODE","610.566333 ms","0000",
"","","","OP-CODE Fetch","","",
"125.0","00.EDB8","FF12"," INVALID_OPCODE","620.550583 ms","0000",
"","","","OP-CODE Fetch","","",
"127.0","00.EDB8","FF12"," INVALID_OPCODE","630.527366 ms","0000",
"","","","OP-CODE Fetch","","",
"129.0","00.EDB8","FF12"," INVALID_OPCODE","640.570350 ms","0000",
"","","","OP-CODE Fetch","","",
"131.0","00.EDB8","FF12"," INVALID_OPCODE","650.536816 ms","0000",
"","","","OP-CODE Fetch","","",
"133.0","00.EDB8","FF12"," INVALID_OPCODE","660.590500 ms","0000",
"","","","OP-CODE Fetch","","",
"135.0","00.EDB8","FF12"," INVALID_OPCODE","670.528750 ms","0000",
"","","","OP-CODE Fetch","","",
"137.0","00.EDB8","FF12"," INVALID_OPCODE","680.531750 ms","0000",
"","","","OP-CODE Fetch","","",
"139.0","00.EDB8","FF12"," INVALID_OPCODE","690.635483 ms","0000",
"","","","OP-CODE Fetch","","",
"141.0","00.EDB8","FF12"," INVALID_OPCODE","700.565700 ms","0000",
"","","","OP-CODE Fetch","","",
"143.0","00.EDB8","FF12"," INVALID_OPCODE","710.529500 ms","0000",
"","","","OP-CODE Fetch","","",
"145.0","00.EDB8","FF12"," INVALID_OPCODE","720.585266 ms","0000",
"","","","OP-CODE Fetch","","",
"147.0","00.EDB8","FF12"," INVALID_OPCODE","730.526933 ms","0000",
"","","","OP-CODE Fetch","","",
"149.0","00.EDB8","FF12"," INVALID_OPCODE","740.554600 ms","0000",
"","","","OP-CODE Fetch","","",
"151.0","00.EDB8","FF12"," INVALID_OPCODE","750.554250 ms","0000",
"","","","OP-CODE Fetch","","",
"153.0","00.EDB8","FF12"," INVALID_OPCODE","760.566400 ms","0000",
"","","","OP-CODE Fetch","","",
"155.0","00.EDB8","FF12"," INVALID_OPCODE","770.579650 ms","0000",
"","","","OP-CODE Fetch","","",
"157.0","00.EDB8","FF12"," INVALID_OPCODE","780.528600 ms","0000",
"","","","OP-CODE Fetch","","",
"159.0","00.EDB8","FF12"," INVALID_OPCODE","790.631450 ms","0000",
"","","","OP-CODE Fetch","","",
"161.0","00.EDB8","FF12"," INVALID_OPCODE","800.533850 ms","0000",
"","","","OP-CODE Fetch","","",
