"Number","Address","Data","Content","Time","AUX",
"0.0","0000","0000","TRIGGER",">5.680735666 s ","0000",
"1.0","00.EDB8","FF12"," INVALID_OPCODE","9.994517 ms
9.994517 ms","0000",
"","","","OP-CODE Fetch","","",
"3.0","00.EDB8","FF12"," INVALID_OPCODE","10.007117 ms
10.007117 ms","0000",
"","","","OP-CODE Fetch","","",
"5.0","00.EDB8","FF12"," INVALID_OPCODE","10.009900 ms
10.009900 ms","0000",
"","","","OP-CODE Fetch","","",
"7.0","00.EDB8","FF12"," INVALID_OPCODE","9.998400 ms
9.998400 ms","0000",
"","","","OP-CODE Fetch","","",
"9.0","00.EDB8","FF12"," INVALID_OPCODE","9.990866 ms
9.990866 ms","0000",
"","","","OP-CODE Fetch","","",
"11.0","00.EDB8","FF12"," INVALID_OPCODE","10.042950 ms
10.042950 ms","0000",
"","","","OP-CODE Fetch","","",
"13.0","00.EDB8","FF12"," INVALID_OPCODE","10.014234 ms
10.014234 ms","0000",
"","","","OP-CODE Fetch","","",
"15.0","00.EDB8","FF12"," INVALID_OPCODE","9.933983 ms
9.933983 ms","0000",
"","","","OP-CODE Fetch","","",
"17.0","00.EDB8","FF12"," INVALID_OPCODE","10.097100 ms
10.097100 ms","0000",
"","","","OP-CODE Fetch","","",
"19.0","00.EDB8","FF12"," INVALID_OPCODE","9.919267 ms
9.919267 ms","0000",
"","","","OP-CODE Fetch","","",
"21.0","00.EDB8","FF12"," INVALID_OPCODE","9.999566 ms
9.999566 ms","0000",
"","","","OP-CODE Fetch","","",
"23.0","00.EDB8","FF12"," INVALID_OPCODE","10.025284 ms
10.025284 ms","0000",
"","","","OP-CODE Fetch","","",
"25.0","00.EDB8","FF12"," INVALID_OPCODE","10.050900 ms
10.050900 ms","0000",
"","","","OP-CODE Fetch","","",
"27.0","00.EDB8","FF12"," INVALID_OPCODE","9.919483 ms
9.919483 ms","0000",
"","","","OP-CODE Fetch","","",
"29.0","00.EDB8","FF12"," INVALID_OPCODE","9.998400 ms
9.998400 ms","0000",
"","","","OP-CODE Fetch","","",
"31.0","00.EDB8","FF12"," INVALID_OPCODE","10.011783 ms
10.011783 ms","0000",
"","","","OP-CODE Fetch","","",
"33.0","00.EDB8","FF12"," INVALID_OPCODE","10.004750 ms
10.004750 ms","0000",
"","","","OP-CODE Fetch","","",
"35.0","00.EDB8","FF12"," INVALID_OPCODE","9.979667 ms
9.979667 ms","0000",
"","","","OP-CODE Fetch","","",
"37.0","00.EDB8","FF12"," INVALID_OPCODE","10.049633 ms
10.049633 ms","0000",
"","","","OP-CODE Fetch","","",
"39.0","00.EDB8","FF12"," INVALID_OPCODE","9.969667 ms
9.969667 ms","0000",
"","","","OP-CODE Fetch","","",
"41.0","00.EDB8","FF12"," INVALID_OPCODE","10.038850 ms
10.038850 ms","0000",
"","","","OP-CODE Fetch","","",
"43.0","00.EDB8","FF12"," INVALID_OPCODE","9.952733 ms
9.952733 ms","0000",
"","","","OP-CODE Fetch","","",
"45.0","00.EDB8","FF12"," INVALID_OPCODE","10.049717 ms
10.049717 ms","0000",
"","","","OP-CODE Fetch","","",
"47.0","00.EDB8","FF12"," INVALID_OPCODE","9.957117 ms
9.957117 ms","0000",
"","","","OP-CODE Fetch","","",
"49.0","00.EDB8","FF12"," INVALID_OPCODE","10.055266 ms
10.055266 ms","0000",
"","","","OP-CODE Fetch","","",
"51.0","00.EDB8","FF12"," INVALID_OPCODE","9.931167 ms
9.931167 ms","0000",
"","","","OP-CODE Fetch","","",
"53.0","00.EDB8","FF12"," INVALID_OPCODE","10.006567 ms
10.006567 ms","0000",
"","","","OP-CODE Fetch","","",
"55.0","00.EDB8","FF12"," INVALID_OPCODE","10.066183 ms
10.066183 ms","0000",
"","","","OP-CODE Fetch","","",
"57.0","00.EDB8","FF12"," INVALID_OPCODE","9.941517 ms
9.941517 ms","0000",
"","","","OP-CODE Fetch","","",
"59.0","00.EDB8","FF12"," INVALID_OPCODE","10.046483 ms
10.046483 ms","0000",
"","","","OP-CODE Fetch","","",
"61.0","00.EDB8","FF12"," INVALID_OPCODE","9.955883 ms
9.955883 ms","0000",
"","","","OP-CODE Fetch","","",
"63.0","00.EDB8","FF12"," INVALID_OPCODE","9.992617 ms
9.992617 ms","0000",
"","","","OP-CODE Fetch","","",
"65.0","00.EDB8","FF12"," INVALID_OPCODE","10.009583 ms
10.009583 ms","0000",
"","","","OP-CODE Fetch","","",
"67.0","00.EDB8","FF12"," INVALID_OPCODE","10.049717 ms
10.049717 ms","0000",
"","","","OP-CODE Fetch","","",
"69.0","00.EDB8","FF12"," INVALID_OPCODE","9.948750 ms
9.948750 ms","0000",
"","","","OP-CODE Fetch","","",
"71.0","00.EDB8","FF12"," INVALID_OPCODE","9.985433 ms
9.985433 ms","0000",
"","","","OP-CODE Fetch","","",
"73.0","00.EDB8","FF12"," INVALID_OPCODE","10.025517 ms
10.025517 ms","0000",
"","","","OP-CODE Fetch","","",
"75.0","00.EDB8","FF12"," INVALID_OPCODE","10.007267 ms
10.007267 ms","0000",
"","","","OP-CODE Fetch","","",
"77.0","00.EDB8","FF12"," INVALID_OPCODE","9.978533 ms
9.978533 ms","0000",
"","","","OP-CODE Fetch","","",
"79.0","00.EDB8","FF12"," INVALID_OPCODE","10.004833 ms
10.004833 ms","0000",
"","","","OP-CODE Fetch","","",
"81.0","00.EDB8","FF12"," INVALID_OPCODE","9.995100 ms
9.995100 ms","0000",
"","","","OP-CODE Fetch","","",
"83.0","00.EDB8","FF12"," INVALID_OPCODE","10.006934 ms
10.006934 ms","0000",
"","","","OP-CODE Fetch","","",
"85.0","00.EDB8","FF12"," INVALID_OPCODE","9.984233 ms
9.984233 ms","0000",
"","","","OP-CODE Fetch","","",
"87.0","00.EDB8","FF12"," INVALID_OPCODE","10.024000 ms
10.024000 ms","0000",
"","","","OP-CODE Fetch","","",
"89.0","00.EDB8","FF12"," INVALID_OPCODE","9.975967 ms
9.975967 ms","0000",
"","","","OP-CODE Fetch","","",
"91.0","00.EDB8","FF12"," INVALID_OPCODE","10.053133 ms
10.053133 ms","0000",
"","","","OP-CODE Fetch","","",
"93.0","00.EDB8","FF12"," INVALID_OPCODE","9.948667 ms
9.948667 ms","0000",
"","","","OP-CODE Fetch","","",
"95.0","00.EDB8","FF12"," INVALID_OPCODE","10.084216 ms
10.084216 ms","0000",
"","","","OP-CODE Fetch","","",
"97.0","00.EDB8","FF12"," INVALID_OPCODE","9.941467 ms
9.941467 ms","0000",
"","","","OP-CODE Fetch","","",
"99.0","00.EDB8","FF12"," INVALID_OPCODE","10.044950 ms
10.044950 ms","0000",
"","","","OP-CODE Fetch","","",
"101.0","00.EDB8","FF12"," INVALID_OPCODE","9.956150 ms
9.956150 ms","0000",
"","","","OP-CODE Fetch","","",
"103.0","00.EDB8","FF12"," INVALID_OPCODE","9.989817 ms
9.989817 ms","0000",
"","","","OP-CODE Fetch","","",
"105.0","00.EDB8","FF12"," INVALID_OPCODE","9.979133 ms
9.979133 ms","0000",
"","","","OP-CODE Fetch","","",
"107.0","00.EDB8","FF12"," INVALID_OPCODE","10.002467 ms
10.002467 ms","0000",
"","","","OP-CODE Fetch","","",
"109.0","00.EDB8","FF12"," INVALID_OPCODE","10.023583 ms
10.023583 ms","0000",
"","","","OP-CODE Fetch","","",
"111.0","00.EDB8","FF12"," INVALID_OPCODE","9.985183 ms
9.985183 ms","0000",
"","","","OP-CODE Fetch","","",
"113.0","00.EDB8","FF12"," INVALID_OPCODE","10.008484 ms
10.008484 ms","0000",
"","","","OP-CODE Fetch","","",
"115.0","00.EDB8","FF12"," INVALID_OPCODE","10.002900 ms
10.002900 ms","0000",
"","","","OP-CODE Fetch","","",
"117.0","00.EDB8","FF12"," INVALID_OPCODE","9.985300 ms
9.985300 ms","0000",
"","","","OP-CODE Fetch","","",
"119.0","00.EDB8","FF12"," INVALID_OPCODE","10.072616 ms
10.072616 ms","0000",
"","","","OP-CODE Fetch","","",
"121.0","00.EDB8","FF12"," INVALID_OPCODE","9.965967 ms
9.965967 ms","0000",
"","","","OP-CODE Fetch","","",
"123.0","00.EDB8","FF12"," INVALID_OPCODE","9.984250 ms
9.984250 ms","0000",
"","","","OP-CODE Fetch","","",
"125.0","00.EDB8","FF12"," INVALID_OPCODE","9.976783 ms
9.976783 ms","0000",
"","","","OP-CODE Fetch","","",
"127.0","00.EDB8","FF12"," INVALID_OPCODE","10.042984 ms
10.042984 ms","0000",
"","","","OP-CODE Fetch","","",
"129.0","00.EDB8","FF12"," INVALID_OPCODE","9.966466 ms
9.966466 ms","0000",
"","","","OP-CODE Fetch","","",
"131.0","00.EDB8","FF12"," INVALID_OPCODE","10.053684 ms
10.053684 ms","0000",
"","","","OP-CODE Fetch","","",
"133.0","00.EDB8","FF12"," INVALID_OPCODE","9.938250 ms
9.938250 ms","0000",
"","","","OP-CODE Fetch","","",
"135.0","00.EDB8","FF12"," INVALID_OPCODE","10.003000 ms
10.003000 ms","0000",
"","","","OP-CODE Fetch","","",
"137.0","00.EDB8","FF12"," INVALID_OPCODE","10.103733 ms
10.103733 ms","0000",
"","","","OP-CODE Fetch","","",
"139.0","00.EDB8","FF12"," INVALID_OPCODE","9.930217 ms
9.930217 ms","0000",
"","","","OP-CODE Fetch","","",
"141.0","00.EDB8","FF12"," INVALID_OPCODE","9.963800 ms
9.963800 ms","0000",
"","","","OP-CODE Fetch","","",
"143.0","00.EDB8","FF12"," INVALID_OPCODE","10.055766 ms
10.055766 ms","0000",
"","","","OP-CODE Fetch","","",
"145.0","00.EDB8","FF12"," INVALID_OPCODE","9.941667 ms
9.941667 ms","0000",
"","","","OP-CODE Fetch","","",
"147.0","00.EDB8","FF12"," INVALID_OPCODE","10.027667 ms
10.027667 ms","0000",
"","","","OP-CODE Fetch","","",
"149.0","00.EDB8","FF12"," INVALID_OPCODE","9.999650 ms
9.999650 ms","0000",
"","","","OP-CODE Fetch","","",
"151.0","00.EDB8","FF12"," INVALID_OPCODE","10.012150 ms
10.012150 ms","0000",
"","","","OP-CODE Fetch","","",
"153.0","00.EDB8","FF12"," INVALID_OPCODE","10.013250 ms
10.013250 ms","0000",
"","","","OP-CODE Fetch","","",
"155.0","00.EDB8","FF12"," INVALID_OPCODE","9.948950 ms
9.948950 ms","0000",
"","","","OP-CODE Fetch","","",
"157.0","00.EDB8","FF12"," INVALID_OPCODE","10.102850 ms
10.102850 ms","0000",
"","","","OP-CODE Fetch","","",
"159.0","00.EDB8","FF12"," INVALID_OPCODE","9.902400 ms
9.902400 ms","0000",
"","","","OP-CODE Fetch","","",
"161.0","00.EDB8","FF12"," INVALID_OPCODE","10.002833 ms
10.002833 ms","0000",
"","","","OP-CODE Fetch","","",
"163.0","00.EDB8","FF12"," INVALID_OPCODE","10.077800 ms
10.077800 ms","0000",
"","","","OP-CODE Fetch","","",
"165.0","00.EDB8","FF12"," INVALID_OPCODE","9.974333 ms
9.974333 ms","0000",
"","","","OP-CODE Fetch","","",
"167.0","00.EDB8","FF12"," INVALID_OPCODE","9.965650 ms
9.965650 ms","0000",
"","","","OP-CODE Fetch","","",
"169.0","00.EDB8","FF12"," INVALID_OPCODE","10.049050 ms
10.049050 ms","0000",
"","","","OP-CODE Fetch","","",
"171.0","00.EDB8","FF12"," INVALID_OPCODE","9.927234 ms
9.927234 ms","0000",
"","","","OP-CODE Fetch","","",
"173.0","00.EDB8","FF12"," INVALID_OPCODE","10.006083 ms
10.006083 ms","0000",
"","","","OP-CODE Fetch","","",
"175.0","00.EDB8","FF12"," INVALID_OPCODE","10.087700 ms
10.087700 ms","0000",
"","","","OP-CODE Fetch","","",
"177.0","00.EDB8","FF12"," INVALID_OPCODE","9.941567 ms
9.941567 ms","0000",
"","","","OP-CODE Fetch","","",
"179.0","00.EDB8","FF12"," INVALID_OPCODE","9.967133 ms
9.967133 ms","0000",
"","","","OP-CODE Fetch","","",
"181.0","00.EDB8","FF12"," INVALID_OPCODE","10.045233 ms
10.045233 ms","0000",
"","","","OP-CODE Fetch","","",
"183.0","00.EDB8","FF12"," INVALID_OPCODE","9.981950 ms
9.981950 ms","0000",
"","","","OP-CODE Fetch","","",
"185.0","00.EDB8","FF12"," INVALID_OPCODE","9.977934 ms
9.977934 ms","0000",
"","","","OP-CODE Fetch","","",
"187.0","00.EDB8","FF12"," INVALID_OPCODE","10.002716 ms
10.002716 ms","0000",
"","","","OP-CODE Fetch","","",
"189.0","00.EDB8","FF12"," INVALID_OPCODE","10.024884 ms
10.024884 ms","0000",
"","","","OP-CODE Fetch","","",
"191.0","00.EDB8","FF12"," INVALID_OPCODE","9.985083 ms
9.985083 ms","0000",
"","","","OP-CODE Fetch","","",
"193.0","00.EDB8","FF12"," INVALID_OPCODE","9.984567 ms
9.984567 ms","0000",
"","","","OP-CODE Fetch","","",
"195.0","00.EDB8","FF12"," INVALID_OPCODE","10.057516 ms
10.057516 ms","0000",
"","","","OP-CODE Fetch","","",
"197.0","00.EDB8","FF12"," INVALID_OPCODE","9.970067 ms
9.970067 ms","0000",
"","","","OP-CODE Fetch","","",
"199.0","00.EDB8","FF12"," INVALID_OPCODE","10.003533 ms
10.003533 ms","0000",
"","","","OP-CODE Fetch","","",
"201.0","00.EDB8","FF12"," INVALID_OPCODE","9.969300 ms
9.969300 ms","0000",
"","","","OP-CODE Fetch","","",
"203.0","00.EDB8","FF12"," INVALID_OPCODE","10.028017 ms
10.028017 ms","0000",
"","","","OP-CODE Fetch","","",
"205.0","00.EDB8","FF12"," INVALID_OPCODE","9.970000 ms
9.970000 ms","0000",
"","","","OP-CODE Fetch","","",
"207.0","00.EDB8","FF12"," INVALID_OPCODE","10.032450 ms
10.032450 ms","0000",
"","","","OP-CODE Fetch","","",
"209.0","00.EDB8","FF12"," INVALID_OPCODE","9.983950 ms
9.983950 ms","0000",
"","","","OP-CODE Fetch","","",
"211.0","00.EDB8","FF12"," INVALID_OPCODE","9.993833 ms
9.993833 ms","0000",
"","","","OP-CODE Fetch","","",
"213.0","00.EDB8","FF12"," INVALID_OPCODE","10.060817 ms
10.060817 ms","0000",
"","","","OP-CODE Fetch","","",
